MSN,YYYYMM,Value,Column_Order,Description,Unit
CPUCIUS,199911,168.3,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199912,168.3,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199913,166.6,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200001,168.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200002,169.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200003,171.2,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200004,171.3,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200005,171.5,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200006,172.4,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200007,172.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200008,172.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200009,173.7,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200010,174,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200011,174.1,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200012,174,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200013,172.2,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200101,175.1,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200102,175.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200103,176.2,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200104,176.9,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200105,177.7,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200106,178,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200107,177.5,1,Consumer Price Index (Urban),Index 1982-1984 = 100
