Country,Regioncode,Region,Variable,Year,AGR,MIN,MAN,PU,CON,WRT,TRA,FIRE,GOV,OTH,SUM
CRI,LAM,Latin America,VA_Q05,1960,155385.9062960935,1480.680894186571,136462.2773254324,11197.31656360382,61531.51332190296,277630.2920148516,30543.08682540834,80481.30017347753,308435.5824601321,106180.8649625231,1169328.820837612
CRI,LAM,Latin America,VA_Q05,1961,166359.5498047159,1393.404282986734,128418.7041501879,9692.77541768576,68583.40206887739,273893.2185247639,30565.29560575333,84753.19562622758,318276.3240225572,110350.1106901454,1192285.980193901
CRI,LAM,Latin America,VA_Q05,1962,165708.2082602844,1544.555078870232,142349.0397861759,8319.141436433269,75614.71379833657,293230.8485840215,30912.67180914097,75643.64229346535,322806.2345452533,113463.9233599559,1229592.978951937
CRI,LAM,Latin America,VA_Q05,1963,170474.6222802646,1713.690215382403,157936.8453659043,12109.05735249777,77583.21244935589,305931.1252116656,31482.87411234399,94322.76615152114,336249.7044855432,118817.504715562,1306621.402340041
CRI,LAM,Latin America,VA_Q05,1964,167362.348856297,1992.37733966172,183621.1638370519,11373.26450803626,64708.40816240511,327540.4424424083,34370.62355220099,102006.3383775211,347514.6119070444,124518.4959810646,1365008.074963691
CRI,LAM,Latin America,VA_Q05,1965,181562.2407541211,2295.522096053895,211559.542713255,16724.74509627339,81442.63737617517,353672.2503707772,35818.71091343342,105926.9107025021,381159.7677558726,135818.0249725145,1505980.352750978
CRI,LAM,Latin America,VA_Q05,1966,197885.1261195831,2526.802861454506,232874.8038691537,18348.78337649074,81091.78056464616,387659.6995837734,38381.76715053062,112403.5615883599,402861.8693362093,144235.5575084994,1618269.751958701
CRI,LAM,Latin America,VA_Q05,1967,211448.2761885481,2648.148358096958,244058.2282518338,19979.99944344813,86306.53465491321,387266.3052922481,41637.40543917085,119281.1281124701,407613.575245945,146394.1133985124,1666633.714385187
CRI,LAM,Latin America,VA_Q05,1968,233093.1601617643,2982.527278861849,274875.2052225975,23464.01413330503,92818.80768925046,407973.3639286827,45351.11954582721,122086.4122878072,418901.4137281362,151769.7881522595,1773315.812128492
CRI,LAM,Latin America,VA_Q05,1969,256906.2908861623,3273.884676149155,301727.2393817055,26554.45047653629,96266.33766327654,430992.5952729763,51218.40713799246,130085.8310719361,446088.912483982,161070.6225804694,1904184.571631186
CRI,LAM,Latin America,VA_Q05,1970,267456.4485004244,3582.604741175679,330179.4489664851,30315.38123072383,100476.6194016249,489093.0596863733,52905.75249408145,138084.8335679539,486481.3954253433,173128.1691860695,2071703.713200255
CRI,LAM,Latin America,VA_Q05,1971,279798.1423133347,3873.002114772859,356943.0055747884,34275.75528248193,117800.1744708705,511046.0424465187,58864.85824533246,148183.1311624819,526519.5583409031,188101.7270628228,2225405.397014307
CRI,LAM,Latin America,VA_Q05,1972,294966.4821285568,4280.941282445087,394539.4303340717,37495.33994326369,143675.8643211362,550147.0378446091,65678.31607561585,157935.3880333982,569215.1214499738,198773.7228583579,2416707.644271428
CRI,LAM,Latin America,VA_Q05,1973,311627.7687759857,4718.265898636078,434844.0721310999,39774.69191549856,148105.4315666902,597226.9285832343,76186.84664771438,170938.8272044542,601015.3437656508,209300.8090028698,2593738.985491834
CRI,LAM,Latin America,VA_Q05,1974,306352.6899688547,5318.420470736916,490155.4224549269,43478.63887038023,159639.8492457069,592906.8637027239,86930.32404154683,186347.1577442979,660895.42812609,226921.7862035067,2758946.580828771
CRI,LAM,Latin America,VA_Q05,1975,315648.7722440629,5486.78180519147,505671.9130123598,44475.85535823298,168718.2692440204,567779.955724244,92312.74213945094,196711.6010770381,681888.8896548238,230892.7106430868,2809587.490902512
CRI,LAM,Latin America,VA_Q05,1976,317221.3429073208,5805.181782671236,535016.2411507496,48379.24561068522,203803.950396923,618033.7716812035,97673.80143537927,204969.1041840262,707842.8315447775,238896.6052166155,2977642.075910352
CRI,LAM,Latin America,VA_Q05,1977,324208.3340820491,6544.312240707866,603135.8649942646,51741.28976973165,211742.0857577673,728768.4959653107,109399.783720099,215631.498659802,743274.8341249191,252774.1588570232,3247220.658171675
CRI,LAM,Latin America,VA_Q05,1978,345607.2386770145,7080.855959544559,652584.7219657963,54533.49593571937,224022.0741612832,759361.6084864773,122193.7061036092,227230.3110136899,780478.4368340677,263921.7019452195,3437014.151082422
CRI,LAM,Latin America,VA_Q05,1979,347319.1510446118,7269.614252382727,669981.0337611936,57325.70210170709,267265.1761822356,790836.3669016255,137337.0967044585,241659.6592264165,826185.7201624502,283732.3869313922,3628911.907268474
CRI,LAM,Latin America,VA_Q05,1980,345587.3327192518,7327.693727102162,675333.7450828542,64078.28231945291,264326.7503856801,767384.5861217112,144470.9365643791,247959.1976791702,856302.9223555706,285865.1958535244,3658636.642808697
CRI,LAM,Latin America,VA_Q05,1981,363204.1053392932,7291.048344243471,671956.4391299016,69064.36475871669,206961.6617006843,686052.7524018951,143467.072871516,245457.6561324961,871893.0034908328,286919.9726577879,3552268.076827367
CRI,LAM,Latin America,VA_Q05,1982,346124.7935788463,6459.958717901066,595361.6890270907,71970.53852331617,140956.7240317862,605778.8937548574,142313.6975648222,247481.9660242095,846647.701652482,278026.7564649782,3281122.71934029
CRI,LAM,Latin America,VA_Q05,1983,359959.4342239635,6576.117667339939,606067.111670412,86501.4073463135,147579.1463493966,625175.1034224557,144449.5777624033,258224.0961646299,833094.9606655779,276475.6141057672,3344102.56937826
CRI,LAM,Latin America,VA_Q05,1984,396188.2773521842,7259.934339929487,669088.9152075833,89265.12161264829,182401.6848936524,696456.1739508798,149639.7666425251,270101.3292521435,845584.7415750778,281852.9076176986,3587838.852444322
CRI,LAM,Latin America,VA_Q05,1985,374311.6297709125,7405.824449046165,682534.4162655644,82655.00089316715,192620.3895294353,728504.0021971163,153078.5337606305,279022.4164811457,849836.5818846948,285203.3751135944,3635172.170345307
CRI,LAM,Latin America,VA_Q05,1986,392266.8036729207,7946.516701791389,732365.609760072,87698.0671317368,198672.669528311,779507.2171639602,164548.2104216405,296880.9070096518,866843.9431231627,292379.9937622105,3819109.938275458
CRI,LAM,Latin America,VA_Q05,1987,408848.4664892987,8383.495606823335,772638.3901801856,94450.64734948262,200821.6674989263,810673.399516215,179029.4781612397,317306.2983673037,888546.0447034993,301852.303102459,3982550.190975433
CRI,LAM,Latin America,VA_Q05,1988,427540.160828529,8568.105365752972,789652.365452607,96815.47502067631,200909.3817018086,821209.0679492969,194066.07475221,340691.4736917869,906262.0459935701,310249.1537403212,4095963.30449656
CRI,LAM,Latin America,VA_Q05,1989,459349.8813334171,8859.539872827283,816511.5061916542,101659.0979616754,225820.2153203694,864718.292817296,212306.4916395517,366345.9295499654,924420.9473158926,319721.4630805696,4299713.36508322
