countrycode,year,v_c,v_i,v_g,v_x,v_m,v_gdp,q_c,q_i,q_g,q_x,q_m,q_gdp,pop,xr,xr2,v_gfcf,q_gfcf,emp,avh
BWA,1967,29.7028968022436,9.59961675697244,7.905712943635776,7.326413184851356,20.98455109689093,29.3689849121952,1791.063126872931,717.3597627458892,563.7881334381485,579.7497294571666,1065.144907922355,2567.167228513864,.6593187259412422,.7142860513853041,.7142860513853041,,,,
BWA,1968,33.5997789990473,13.09854329117126,8.197167434973339,7.751132668738975,24.52292860968909,33.05467320731034,2120.995459791518,1117.448143919658,586.2226285597342,751.7244125228378,1653.51065794366,2933.59022650909,.6693239331522532,.7142860513853041,.7142860513853041,,,,
BWA,1969,37.28016587038535,19.06466163697739,8.379326589743519,8.954504413221173,28.70018255640965,38.58659553267775,2601.754685676922,671.8685936175146,606.7063293441076,806.6854587650963,1917.260865655944,2926.995406702161,.6811550521646679,.7142860513853041,.7142860513853041,,,,
BWA,1970,41.090451,28.036267,9.43585,12.033722,34.49919,47.854511,2441.501558664144,1714.664661880267,597.9275328357758,1129.359611976732,2647.646004873458,3295.617735088173,.695597,.7164135200369365,.7164135200369365,23.890549,1387.321327804302,,
BWA,1971,46.211271,41.089953,10.820261,21.306766,45.916779,63.019428,2623.408734518994,2401.024466955399,655.0993935989095,1910.520705637839,3366.85448989006,4146.582768023187,.7186389999999999,.715216999,.715216999,41.908841,2325.190422059136,,
BWA,1972,61.821513,58.091145,12.350399,33.623634,63.207445,88.213318,3168.21220645314,3064.273160543652,675.0050595265503,2721.669784180965,4183.86597301908,5239.702297035513,.7428349999999999,.7691228526909015,.7691228526909015,58.973519,2953.700715259876,,
BWA,1973,80.77680699999999,77.38009599999999,17.924473,46.577581,86.247975,117.60619,3766.495562810435,3713.838408694945,891.3507768838184,3430.393258962476,5194.390613173421,6355.926583969497,.768512,.6941141375837507,.6941141375837507,72.22373899999999,3291.285716127166,,
BWA,1974,100.929711,89.312331,26.085208,60.239394,110.643831,160.025595,3762.969206328092,3427.409328615738,1037.187777215957,3547.38540132559,5328.116432831217,6915.107419849905,.796095,.6794770035702509,.6794770035702509,68.71042299999999,2503.623905449475,,
BWA,1975,128.681253,98.732517,36.322559,81.05065399999999,137.627126,202.692487,4107.64826106524,3244.001805756008,1236.533349547578,4086.491940664881,5674.360217700345,7499.174781921587,.8258399999999999,.7395077005094739,.7395077005094739,70.16593999999999,2188.96654303433,,
BWA,1976,168.71721,107.460253,49.472119,109.051703,171.19098,258.228744,4677.475632741503,3066.499967356847,1462.729758929682,4775.301188865499,6130.105470530042,8297.640547995696,.8578549999999999,.8695649989999999,.8695649989999999,69.909673,1894.193274190672,,
BWA,1977,217.901041,105.972571,68.67543999999999,155.243908,219.212323,322.328077,5170.308804400489,2628.890241206585,1762.161334778561,6133.425728277994,6815.238026363923,9176.931356314275,.891926,.8419596656666666,.8419596656666666,80.416625,1859.627519410947,,
BWA,1978,262.988683,119.609659,87.38254999999999,184.340236,269.277128,377.567348,5596.621948749776,2656.125270745446,1999.985220090423,7257.705245365706,7485.606976668722,10247.21663455317,.927585,.8281569989999999,.8281569989999999,96.30518699999999,1990.976648405863,,
BWA,1979,321.504574,168.653586,102.51695,242.43765,342.330874,484.581062,6314.376663563915,3411.325315555466,2042.113928177436,8255.039144489801,8572.086478284516,11711.17821978229,.964166,.8150066656666666,.8150066656666666,139.921852,2608.836202740579,,
BWA,1980,400.82046,242.244272,128.716828,344.441469,445.474588,662.524771,7102.113216208163,4301.778135179943,2178.013201215953,8789.542740539733,9627.398395931777,13142.12131493681,1.001158,.777224999,.777224999,211.010354,3421.559220017272,.2325789,
BWA,1981,471.117361,320.69472,174.616237,416.682269,559.755168,815.274226,7222.710424148972,5019.125572250706,2544.035589765188,9524.485035763955,10246.91608529641,14685.32483652321,1.038397,.8367383323333333,.8367383323333333,284.661527,4032.073212600076,.24089321,
BWA,1982,527.411521,371.077561,221.21034,425.349261,656.666326,878.779589,7071.314741704757,5434.116955679726,2903.262953901588,9871.912203903172,10739.5771578037,15924.25554382061,1.075889,1.0296608325,1.0296608325,313.260938,4024.728490549548,.24913505,
BWA,1983,582.914776,366.763283,270.186249,543.067954,739.6819459999999,1016.184801,6731.520730705598,4918.955720334462,3245.275956377006,12145.37336285116,10682.71116977953,17818.97253539326,1.113539,1.0969258325,1.0969258325,320.282658,3612.101631028142,.25707388,
BWA,1984,638.4173589999999,353.770857,329.83067,760.314184,821.982354,1259.217795,6292.370004971535,4178.527454272344,3607.221099908702,16397.10452140783,10613.26712791904,20244.00600986964,1.151292,1.298373332916667,1.298373332916667,337.196288,3318.72680196063,.26558495,
BWA,1985,758.730676,457.164778,399.895497,933.0825589999999,954.092135,1593.573778,6780.70487139707,5082.366812731871,4114.57860939714,17680.52084080246,11724.89927753779,22112.31003980132,1.189114,1.902566666416666,1.902566666416666,421.098146,4005.717295510534,.27485299,
BWA,1986,914.2318909999999,470.553919,483.754958,1339.097762,1110.212587,2103.2501,7976.953623850071,4798.936178061449,4625.107313566227,19237.86719225409,12618.90692730029,23734.75595831639,1.22681,1.8791441665,1.8791441665,482.756017,4333.22595949565,.29793143,
BWA,1987,1024.088743,536.458246,622.445603,1703.063772,1313.588084,2588.920108,8595.489810443027,4481.807342032655,5346.279778294124,21054.57292407402,12869.88603563639,25686.87343295229,1.264314,1.678940833333333,1.678940833333333,578.0361359999999,4405.381946955492,.3218438,
BWA,1988,1139.634396,479.033709,880.722817,2360.945549,1633.083276,3269.511487,8769.44236798362,3414.556555000416,6876.052738592679,24788.80691307038,14604.31575325145,28826.61665547687,1.301818,1.8285875,1.8285875,897.806259,5845.037551209381,.34663448,
BWA,1989,1884.987966,2159.271716,1397.57497,3504.845526,2928.995419,6085.328386,11455.13514424308,12475.11085736121,8777.284859746285,27557.28903241112,22433.30950672378,38418.04842040766,1.339624,2.014885833333333,2.014885833333333,1934.201782,10109.13282687201,.37238741,
BWA,1990,2529.679742,2555.34234,1689.296725,3697.947994,3587.807379,6923.321989999999,14047.91105215746,13687.76921339656,9404.686778932439,27485.61802756622,24781.78757931399,41155.99052073431,1.377912,1.860465833333333,1.860465833333333,2278.829817,10960.74151819724,.39916533,
BWA,1991,3103.826658,2552.763691,1916.610446,4025.722173,3789.292675,7818.188283,15452.21148666422,12266.92271980512,9690.528376933155,28450.1543823925,23388.01280053976,44211.41185455288,1.416731,2.021556666666667,2.021556666666667,2479.999513,10674.27948995767,.42699999,
BWA,1992,3457.982856,2563.921308,2288.321225,4014.150311,3715.676977,8584.85591,15234.95590662648,11249.98701258801,10750.54307825361,27141.83708800676,20171.76943436857,45538.22467959827,1.455833,2.109725,2.109725,2572.050666,10230.11184042038,.433,
BWA,1993,3845.519386,2795.20945,2800.707489,4521.502641999999,4028.326574,9892.479069999999,14864.62479451002,11466.51345030083,11817.29311175499,26898.15594554704,19613.868539788,46410.78382752163,1.494693,2.423075,2.423075,2702.64318,10038.98741004566,.43900001,
BWA,1994,4372.3,2971,3273,5468.3,4614.8,11434.6,15207.41231651808,10935.12590526663,12412.94931284033,28739.61718127121,20617.94764199198,48095.46000563209,1.532622,2.6846455,2.6846455,2959.5,9921.953856438902,.43399999,
BWA,1995,5171,3557.9,3941.4,6666.799999999999,5738.599999999999,13114.2,17783.5113449722,11848.49959192391,12935.88071895914,31867.99017773722,23324.20137622813,51476.76882379014,1.569094,2.772206666666666,2.772206666666666,3537.9,10540.44775266967,.447,
BWA,1996,5698.5,3777.9,4221.099999999999,8674.4,5983,16114.9,18748.41887087236,11793.05563993124,13088.63417660505,36160.71836040189,22173.11826485299,54477.76094069154,1.60406,3.324196666666667,3.324196666666667,3708.6,10556.36096547804,.40220252,
BWA,1997,6497.599999999999,4408.2,5165.2,11158.1,8746.699999999999,18327.8,21270.24822297269,11936.32356987105,14386.08023637233,40840.39936139512,29909.63944571526,58850.44572937819,1.637635,3.650763333333333,3.650763333333333,4797,12466.481185916,.47400001,
BWA,1998,7472.7,7679.9,6087.2,9978.1,10638.6,20244,21714.10019438946,20416.18522059521,15339.7541306722,33410.0783357542,34383.36103562664,59275.34749325243,1.669625,4.22588,4.22588,5691.099999999999,13758.39028459581,.46559346,
BWA,1999,8295.1,6499.099999999999,6951.799999999999,13998.8,11091,25361.4,21722.76304569847,15531.16562087704,15643.67828491242,42647.48064056686,33150.41892848754,65005.63263639793,1.699862,4.62439525,4.62439525,6766.4,15474.8792613805,.51299995,
BWA,2000,9840.299999999999,8726.699999999999,7354,15306.4,11839.8,29530.9,21440.45018389457,20852.86403272428,15740.13602205769,42990.07054931795,32508.4813993782,66297.74823144797,1.72834,5.101815833333333,5.101815833333333,7424.799999999999,15778.91606221607,.50921601,
BWA,2001,11048.249637,9583.917396999999,7531.201293,15602.452151,12463.164213,32065.917782,20483.69379098842,20351.78336547243,15513.19771366309,41122.4360783995,32012.25239755938,66463.89309215886,1.754935,5.841158925000001,5.841158925000001,8310.967615,16589.50419028322,.49311754,
